Series ID,Year,Period,Label,Value
LASST170000000000003,2023,M01,2023 Jan,4.4
LASST170000000000003,2023,M02,2023 Feb,4.3
LASST170000000000003,2023,M03,2023 Mar,4.3
LASST170000000000003,2023,M04,2023 Apr,4.2
LASST170000000000003,2023,M05,2023 May,4.2
LASST170000000000003,2023,M06,2023 Jun,4.3
LASST170000000000003,2023,M07,2023 Jul,4.4
LASST170000000000003,2023,M08,2023 Aug,4.6
LASST170000000000003,2023,M09,2023 Sep,4.7
LASST170000000000003,2023,M10,2023 Oct,4.8
LASST170000000000003,2023,M11,2023 Nov,4.8
LASST170000000000003,2023,M12,2023 Dec,4.8
LASST170000000000003,2024,M01,2024 Jan,4.9
LASST170000000000003,2024,M02,2024 Feb,4.9
LASST170000000000003,2024,M03,2024 Mar,5.0
LASST170000000000003,2024,M04,2024 Apr,5.1
LASST170000000000003,2024,M05,2024 May,5.1
LASST170000000000003,2024,M06,2024 Jun,5.1
LASST170000000000003,2024,M07,2024 Jul,5.1
LASST170000000000003,2024,M08,2024 Aug,5.0
LASST170000000000003,2024,M09,2024 Sep,5.0
LASST170000000000003,2024,M10,2024 Oct,4.9
LASST170000000000003,2024,M11,2024 Nov,4.9
LASST170000000000003,2024,M12,2024 Dec,4.9
LASST170000000000003,2025,M01,2025 Jan,4.9
LASST170000000000003,2025,M02,2025 Feb,4.8
LASST170000000000003,2025,M03,2025 Mar,4.8
